Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
2,1.6106,-356,1.0,94,109,192,0.72394264
1,1.8163,-278,0.9955,72,96,205,0.5982589
0,1.8236,-208,0.991,52,89,212,0.36260292
1,1.8018,-334,0.9865,86,114,187,0.55159362
1,1.7926,-274,0.982,71,87,214,0.58187068
1,1.7328,-254,0.9775,66,105,196,0.42657479
1,1.1448,-110,0.973,30,86,215,0.19913681
2,1.1272,-112,0.9685,33,104,197,0.22110314
1,1.3722,-156,0.964,39,91,210,0.25983339
3,1.7838,-132,0.9595,43,100,201,0.31536129
0,1.7869,-148,0.955,37,100,201,0.22717071
2,1.7729,-124,0.9505,36,106,195,0.27800005
2,1.7946,-352,0.946,93,102,199,0.63601898
1,1.2148,-162,0.9415,43,92,209,0.33855553
1,1.1159,-114,0.937,31,115,186,0.20375116
1,1.2875,-90,0.9325,25,95,206,0.18846947
2,1.814,-104,0.928,31,84,217,0.23311063
0,1.7717,-260,0.9235,65,106,195,0.36693237
4,1.8278,-224,0.919,67,123,178,0.49018406
0,1.8177,-264,0.9145,66,97,204,0.48187811
2,1.6519,-188,0.91,52,105,196,0.34572004
2,1.367,-180,0.9055,50,114,187,0.31294672
6,1.8286,-60,0.901,31,99,202,0.36643949
2,1.8322,-152,0.8965,43,106,195,0.31606393
2,1.7971,-164,0.892,46,107,194,0.32092208
1,1.8083,-222,0.8875,58,112,189,0.3969792
4,1.7949,-192,0.883,59,116,185,0.45261112
5,1.8014,-90,0.8785,35,116,185,0.33230629
4,1.8047,-32,0.874,18,116,185,0.18887288
3,1.4641,-98,0.8695,32,108,193,0.28281922
1,1.5537,-218,0.865,57,88,213,0.33234462
0,1.7817,-52,0.8605,13,90,211,0.09181886
4,1.8427,-112,0.856,38,105,196,0.32075723
2,1.8053,-128,0.8515,37,105,196,0.26687842
7,1.788,-70,0.847,35,114,187,0.33683705
6,1.8061,-52,0.8425,28,123,178,0.31866361
4,1.7759,-68,0.838,27,111,190,0.29885149
2,1.2301,-52,0.8335,18,98,203,0.19883382
4,1.801,12,0.829,7,89,212,0.16278208
6,1.7661,-68,0.8245,32,102,199,0.3162822
6,1.8589,-4,0.82,17,104,197,0.26891532
2,1.9834,-172,0.8155,48,130,171,0.31831812
3,1.9148,-82,0.811,28,95,206,0.25626685
8,2.0271,36,0.8065,11,107,194,0.23977422
0,2.1111,-76,0.802,19,87,214,0.13250871
3,1.4085,-78,0.7975,28,104,197,0.27997335
6,2.1023,8,0.793,13,102,199,0.21079303
5,2.0304,-10,0.7885,15,112,189,0.32677955
1,2.0685,-26,0.784,9,94,207,0.08131699
4,1.9432,4,0.7795,9,102,199,0.15069006
1,1.542,-114,0.775,31,110,191,0.20813399
7,1.9603,22,0.7705,12,125,176,0.25072872
2,1.9327,-72,0.766,23,102,199,0.17623632
9,1.9351,-2,0.7615,23,120,181,0.38609518
3,2.1824,-22,0.757,14,111,190,0.1546013
5,1.9622,-74,0.7525,31,110,191,0.35221352
9,1.9842,22,0.748,17,126,175,0.35208175
4,1.8328,8,0.7435,8,111,190,0.16677818
4,1.6333,-20,0.739,15,113,188,0.22063418
9,2.0039,66,0.7345,6,121,180,0.27304326
10,1.9674,84,0.73,4,110,191,0.40465039
9,1.7781,42,0.7255,12,109,192,0.37774758
9,1.7857,90,0.721,0,88,213,0.29572356
5,1.8076,-114,0.7165,41,92,209,0.45084548
8,1.9129,36,0.712,12,135,166,0.33905821
10,1.9251,76,0.7075,6,135,166,0.32179971
8,1.612,44,0.703,9,111,190,0.28278397
12,1.9836,104,0.6985,4,119,182,0.35491289
11,1.9909,22,0.694,22,115,186,0.41701427
12,1.9515,96,0.6895,6,121,180,0.39557445
9,2.1284,6,0.685,21,131,170,0.32458804
11,1.941,26,0.6805,21,128,173,0.4528872
11,2.1329,90,0.676,5,136,165,0.3387737
16,2.2048,72,0.6715,24,117,184,0.51938951
17,2.0004,150,0.667,6,164,137,0.42579001
11,1.6419,74,0.6625,9,132,169,0.40743004
13,1.3042,98,0.658,8,143,158,0.42306523
8,1.9062,4,0.6535,20,149,152,0.33552513
9,2.1861,58,0.649,9,128,173,0.28191869
15,2.051,134,0.6445,5,150,151,0.33502064
17,1.9452,114,0.64,14,144,157,0.43971567
10,2.0685,52,0.6355,12,137,164,0.28965735
11,2.1308,74,0.631,9,153,148,0.30063897
13,2.0162,86,0.6265,12,152,149,0.37852307
17,1.9585,170,0.622,1,140,161,0.42910712
12,2.0299,56,0.6175,16,148,153,0.39262067
18,1.9989,160,0.613,6,150,151,0.39539769
13,1.8711,114,0.6085,4,127,174,0.34793944
13,1.9671,70,0.604,17,135,166,0.39979003
21,2.0095,182,0.5995,8,146,155,0.55065389
17,1.9327,134,0.595,10,140,161,0.45834208
18,1.9425,136,0.5905,12,144,157,0.497873
22,2.0055,220,0.586,0,127,174,0.64161814
21,1.8902,190,0.5815,6,162,139,0.6135923
15,1.5341,118,0.577,8,151,150,0.42603895
20,1.495,180,0.5725,7,170,131,0.44685816
22,2.1161,182,0.568,7,150,151,0.56130914
14,1.9003,138,0.5635,4,139,162,0.41905035
23,2.0118,198,0.559,8,150,151,0.61803339
16,1.9144,92,0.5545,18,162,139,0.46133465
15,1.8227,142,0.55,2,173,128,0.33188545
18,1.7838,136,0.5455,11,192,109,0.41164931
25,1.9095,226,0.541,6,182,119,0.57214775
22,2.0092,184,0.5365,10,165,136,0.63365856
22,1.9974,186,0.532,8,161,140,0.59546805
19,1.8806,176,0.5275,6,191,110,0.44190634
24,1.884,224,0.523,5,183,118,0.54386181
21,1.8858,162,0.5185,12,189,112,0.59771516
