Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
2,1.4787,-31,1.0,51,95,206,0.11336945
1,1.2974,-64,0.9978,74,101,200,0.10373095
3,1.3828,-24,0.9955,54,92,209,0.15940686
0,1.2716,-106,0.9932,106,111,190,0.1029465
1,1.8231,-32,0.991,43,103,198,0.0649605
0,2.0251,-61,0.9888,61,104,197,0.07269209
1,1.9261,-92,0.9865,102,101,200,0.12735514
4,1.9814,23,0.9842,17,87,214,0.107647
0,1.4322,-33,0.982,33,101,200,0.05764377
5,1.3348,29,0.9798,21,111,190,0.16631542
3,1.2887,-42,0.9775,72,101,200,0.23348167
1,1.6715,-58,0.9752,68,103,198,0.08036031
2,1.8178,-10,0.973,30,105,196,0.19458106
3,1.8111,0,0.9708,30,104,197,0.16326249
2,1.8178,-27,0.9685,47,107,194,0.12290036
1,1.821,-60,0.9663,70,94,207,0.12382433
5,1.8062,-28,0.964,78,104,197,0.21889865
3,1.8072,-13,0.9617,43,96,205,0.15733785
0,1.8025,-43,0.9595,43,104,197,0.07471018
0,1.5594,-41,0.9573,41,104,197,0.16857589
1,1.153,-21,0.955,31,97,204,0.10099711
1,1.6521,-34,0.9527,44,119,182,0.25007787
3,1.7989,-9,0.9505,39,102,199,0.29064867
1,1.8093,-43,0.9483,53,92,209,0.25361077
3,1.8026,-2,0.946,32,109,192,0.28203584
3,2.0226,-49,0.9437,79,102,199,0.27090845
0,1.483,-40,0.9415,40,99,202,0.17836737
6,1.4933,-3,0.9393,65,104,197,0.26762828
2,1.5839,-1,0.937,21,93,208,0.19313738
7,2.1918,19,0.9347,51,107,194,0.26565026
1,2.2211,-31,0.9325,41,90,211,0.10487453
3,2.1138,-13,0.9303,43,104,197,0.21116803
7,2.3007,-2,0.928,72,108,193,0.26763414
1,2.0734,-34,0.9257,44,92,209,0.25797224
6,1.2797,51,0.9235,10,98,203,0.26687858
2,1.6358,-8,0.9213,28,102,199,0.14998613
2,2.0374,-20,0.919,40,103,198,0.18696415
4,1.8651,18,0.9167,23,106,195,0.35289158
2,2.0048,-7,0.9145,27,110,191,0.32462658
4,2.0252,-2,0.9123,43,98,203,0.28957719
4,2.1725,3,0.91,37,102,199,0.26297807
6,2.0916,23,0.9077,37,114,187,0.29515033
4,1.5129,9,0.9055,31,100,201,0.28337297
3,1.981,4,0.9032,26,114,187,0.20306682
6,2.2423,20,0.901,40,124,177,0.15835438
6,1.9429,22,0.8987,38,108,193,0.18729531
3,1.9192,-3,0.8965,33,97,204,0.20136053
3,2.0377,-15,0.8942,47,107,194,0.15014926
2,2.0893,-16,0.892,37,118,183,0.13242401
4,1.9786,11,0.8898,29,112,189,0.19763321
8,2.1016,45,0.8875,36,115,186,0.27108741
8,2.1385,42,0.8852,38,98,203,0.37823226
5,2.1093,37,0.883,13,99,202,0.25261891
7,2.0479,40,0.8808,30,121,180,0.30125015
7,1.9819,31,0.8785,39,108,193,0.28784112
6,1.7478,14,0.8762,46,103,198,0.20746801
4,2.1427,0,0.874,41,100,201,0.26434266
6,2.1966,42,0.8718,18,97,204,0.28735066
7,2.0522,58,0.8695,12,108,193,0.28074555
9,2.2352,77,0.8672,13,111,190,0.3019636
2,2.0179,-16,0.865,37,104,197,0.17810249
8,1.9114,37,0.8628,44,106,195,0.34314703
13,1.7882,103,0.8605,29,101,200,0.36639967
8,1.2853,38,0.8582,32,127,174,0.28585293
7,1.7553,46,0.856,34,101,200,0.22275344
8,1.9226,52,0.8538,29,115,186,0.31407993
3,2.1011,-17,0.8515,47,109,192,0.22304621
6,2.0306,51,0.8492,10,101,200,0.22699442
6,1.8363,27,0.847,33,104,197,0.22583961
11,1.3454,95,0.8448,15,113,188,0.27949735
7,1.316,45,0.8425,25,100,201,0.20467792
12,1.8269,110,0.8402,11,114,187,0.34009855
10,1.9002,84,0.838,17,106,195,0.28150117
11,1.8604,78,0.8357,24,106,195,0.28405868
10,1.9237,71,0.8335,39,107,194,0.31384347
10,1.8714,71,0.8313,29,113,188,0.34491374
9,1.4371,77,0.829,13,118,183,0.22956784
8,1.8955,65,0.8267,15,117,184,0.32128697
9,1.8861,58,0.8245,33,110,191,0.30620675
14,1.8975,115,0.8222,26,124,177,0.38524278
10,1.9229,77,0.82,23,105,196,0.34286773
8,1.9281,62,0.8177,20,110,191,0.32516237
7,1.9056,58,0.8155,13,117,184,0.27255838
7,1.9234,62,0.8133,9,110,191,0.26369621
8,1.4239,55,0.811,25,112,189,0.33678515
10,2.0115,57,0.8087,43,129,172,0.23149547
12,1.8779,104,0.8065,16,122,179,0.31078552
9,1.8989,49,0.8042,42,128,173,0.28312124
11,1.9,88,0.802,22,121,180,0.2810229
8,1.6099,53,0.7997,27,126,175,0.32239244
11,1.2554,84,0.7975,27,106,195,0.35170255
16,1.7789,159,0.7953,2,120,181,0.41792527
14,1.8527,109,0.793,31,120,181,0.40835927
9,1.925,64,0.7907,27,136,165,0.2853002
16,1.8673,129,0.7885,31,125,176,0.38355326
11,1.8674,87,0.7863,25,124,177,0.27885161
9,1.9002,78,0.784,14,113,188,0.26453734
10,1.94,82,0.7817,18,122,179,0.39073416
12,1.3637,106,0.7795,15,112,189,0.33761245
12,1.4904,102,0.7772,18,131,170,0.3077037
13,1.8578,105,0.775,25,130,171,0.34696625
13,1.9188,90,0.7727,40,123,178,0.4008971
14,1.8582,131,0.7705,9,121,180,0.4249086
10,1.9019,81,0.7682,19,122,179,0.33639477
15,1.8902,136,0.766,15,126,175,0.35182297
17,1.879,161,0.7637,9,137,164,0.36976108
20,1.5381,168,0.7615,33,142,159,0.44469004
12,1.2043,114,0.7592,6,118,183,0.35463881
10,1.7292,65,0.757,35,120,181,0.25335416
17,1.8568,149,0.7548,21,140,161,0.37200728
12,1.8509,94,0.7525,26,128,173,0.31825759
13,1.9458,124,0.7502,6,137,164,0.31785861
18,1.5381,162,0.748,9,143,158,0.4102043
15,1.235,137,0.7457,24,145,156,0.35591453
13,1.855,116,0.7435,15,119,182,0.44332194
9,1.8788,74,0.7412,16,125,176,0.36460171
14,1.886,131,0.739,9,131,170,0.35804764
17,1.8807,158,0.7368,12,135,166,0.40078405
