Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
2,1.7833,-204,1.0,56,86,215,1.5971707
0,2.1087,-364,0.9978,91,98,203,0.75915787
1,1.979,-82,0.9955,23,95,206,0.29970868
0,2.0967,-256,0.9932,64,115,186,0.51208915
0,2.1633,-176,0.991,44,97,204,0.3346797
2,1.5427,-100,0.9888,31,102,199,0.27419826
1,1.2583,-274,0.9865,71,95,206,0.59957947
2,2.0198,-192,0.9842,54,104,197,0.46023582
3,1.9844,-254,0.982,71,107,194,0.94768496
0,1.9985,-432,0.9798,108,102,199,0.8763092
4,1.9993,-172,0.9775,54,98,203,0.90201836
2,2.1902,-160,0.9752,45,119,182,6.72974257
2,2.0911,-232,0.973,63,107,194,4.87522536
1,1.7346,-174,0.9708,46,109,192,1.55209342
0,1.7264,-276,0.9685,69,87,214,0.72954966
1,2.198,-238,0.9663,62,108,193,0.70653189
1,2.1925,-118,0.964,33,86,215,1.08391349
2,2.0547,-272,0.9617,73,94,207,0.74463185
1,2.193,-114,0.9595,32,98,203,0.79750289
1,2.1549,-86,0.9573,24,92,209,0.62158143
0,1.609,-248,0.955,62,102,199,0.55938865
1,2.1505,-218,0.9527,57,98,203,0.61906178
2,2.0619,-244,0.9505,66,110,191,0.65864533
3,1.982,-150,0.9483,45,97,204,0.50649719
1,1.9735,-294,0.946,76,84,217,0.63097601
0,2.1396,-256,0.9437,64,101,200,0.47336447
0,1.9536,-280,0.9415,70,90,211,0.48276072
1,1.4964,-146,0.9393,39,98,203,0.41453621
1,1.9246,-258,0.937,67,102,199,0.52795057
1,1.9831,-82,0.9347,23,98,203,0.35908426
0,2.1437,-272,0.9325,68,86,215,0.52366882
0,1.7135,-164,0.9303,41,102,199,0.33237792
2,1.4142,-100,0.928,30,107,194,0.26080833
3,2.0307,-178,0.9257,52,95,206,0.41845502
3,2.0228,-142,0.9235,43,97,204,0.31042326
3,2.0009,-214,0.9213,61,89,212,0.41727032
2,1.9834,-298,0.919,77,107,194,0.49292466
3,1.9464,-176,0.9167,55,110,191,0.43627426
3,2.0024,-86,0.9145,29,99,202,0.31592007
2,1.9745,-188,0.9123,52,96,205,0.43045452
1,1.6988,-182,0.91,48,102,199,0.35214791
1,1.6764,-258,0.9077,67,89,212,0.45137421
1,1.9541,-210,0.9055,55,104,197,0.39192291
1,1.9901,-106,0.9032,29,104,197,0.23451749
