Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
1,1.5113,-286,1.0,74,116,185,1.45339342
1,1.7606,-450,0.991,115,107,194,1.95309097
1,1.7812,-206,0.982,54,100,201,0.80333661
1,1.9506,-418,0.973,107,104,197,1.6766597
0,1.7223,-200,0.964,50,90,211,0.78653755
0,1.7814,-288,0.955,72,93,208,1.07785573
0,1.3331,-404,0.946,101,89,212,1.34395428
2,1.1823,-280,0.937,75,100,201,2.51535537
0,1.6249,-236,0.928,59,102,199,1.06899832
0,1.7035,-232,0.919,58,78,223,0.80834232
1,1.7255,-306,0.91,79,104,197,1.2642751
2,1.7156,-280,0.901,75,109,192,1.03051461
1,1.6944,-246,0.892,64,111,190,1.02646117
2,1.6955,-164,0.883,46,100,201,0.72290235
2,1.7255,-252,0.874,68,105,196,1.29349324
1,1.7335,-202,0.865,54,108,193,0.70948905
2,1.6931,-204,0.856,57,111,190,0.75922836
2,1.184,-200,0.847,55,100,201,0.85641143
1,1.6868,-134,0.838,36,126,175,0.53442717
1,1.6885,-118,0.829,32,103,198,0.4743618
1,1.8785,-162,0.82,43,88,213,0.59022616
1,1.6795,-122,0.811,33,132,169,0.45413818
1,1.8172,-126,0.802,34,124,177,0.47345873
1,1.7336,-134,0.793,36,133,168,0.46507933
1,1.6875,-214,0.784,56,119,182,0.75272792
3,1.3851,30,0.775,0,104,197,0.19213201
3,1.619,-122,0.766,38,132,169,0.597664
2,1.6582,-80,0.757,25,133,168,0.43300734
5,1.8723,-106,0.748,39,141,160,0.58869208
1,1.7371,-42,0.739,13,139,162,0.21543436
2,1.3918,-88,0.73,27,148,153,0.38150024
4,1.6093,-112,0.721,39,153,148,0.59226023
0,1.6383,-112,0.712,28,154,147,0.32695944
3,1.713,-62,0.703,23,143,158,0.36552375
3,1.8884,-50,0.694,21,139,162,0.36991825
5,1.5774,-154,0.685,52,134,167,0.77601956
2,1.2381,-96,0.676,29,143,158,0.42131572
5,1.6412,-38,0.667,22,152,149,0.43078036
5,1.6984,-30,0.658,20,147,154,0.43238965
2,1.9965,-28,0.649,12,156,145,0.23618685
2,1.814,-60,0.64,20,142,159,0.31796669
3,1.2819,-14,0.631,11,147,154,0.26317463
0,1.6198,-100,0.622,25,111,190,0.32205822
3,1.7823,-14,0.613,11,102,199,0.20632851
3,1.8134,-30,0.604,15,140,161,0.29357406
6,1.6992,-44,0.595,26,162,139,0.5554059
2,1.7366,-52,0.586,18,164,137,0.29131298
10,2.0898,16,0.577,21,159,142,0.58361183
3,1.9278,-38,0.568,17,160,141,0.31185347
6,1.9505,36,0.559,6,156,145,0.2872811
2,1.7727,4,0.55,4,130,171,0.14495627
3,1.7546,22,0.541,2,145,156,0.15430708
3,1.298,10,0.532,6,148,153,0.17637543
4,1.5564,0,0.523,10,148,153,0.25510933
2,1.7334,-96,0.514,29,120,181,0.46513249
3,1.7033,2,0.505,7,170,131,0.20305675
1,1.8742,-42,0.496,13,119,182,0.20228073
5,1.8375,18,0.487,8,160,141,0.23220176
4,1.9731,-24,0.478,16,164,137,0.34300489
8,1.88,20,0.469,15,161,140,0.45422317
6,1.8147,24,0.46,9,199,102,0.34420798
13,1.8877,102,0.451,7,189,112,0.51105483
5,1.797,50,0.442,0,165,136,0.20267399
3,1.9401,-30,0.433,15,144,157,0.31254467
8,1.7882,52,0.424,7,196,105,0.40070489
5,1.747,10,0.415,10,173,128,0.28767393
7,1.7031,34,0.406,9,170,131,0.36078716
7,1.7827,18,0.397,13,142,159,0.40790869
7,1.8234,62,0.388,2,113,188,0.28869468
7,1.6995,38,0.379,8,146,155,0.37773129
13,1.7283,102,0.37,7,164,137,0.56267452
6,1.7261,44,0.361,4,116,185,0.28252344
14,1.836,72,0.352,18,133,168,0.70713163
13,1.7703,106,0.343,6,138,163,0.5191114
13,1.7155,108,0.334,3,144,157,0.48234871
9,1.7492,88,0.325,3,130,171,0.39066772
11,1.7259,102,0.316,2,135,166,0.46183797
13,1.8042,106,0.307,6,132,169,0.51888773
11,1.7093,110,0.298,0,150,151,0.42750313
15,1.7497,142,0.289,2,148,153,0.5653937
11,1.7645,110,0.28,0,126,175,0.40009798
11,1.1818,82,0.271,7,136,165,0.50362229
9,1.2771,90,0.262,0,126,175,0.32805424
9,1.7469,82,0.253,2,110,191,0.34902477
14,1.8069,116,0.244,6,138,163,0.56807257
9,1.786,90,0.235,0,164,137,0.3393354
14,1.8095,140,0.226,0,109,192,0.49365801
14,1.6165,140,0.217,0,155,146,0.50365021
12,1.585,120,0.208,0,96,205,0.37549962
16,1.688,152,0.199,2,159,142,0.49541809
18,1.7219,180,0.19,0,153,148,0.60616048
13,1.5805,70,0.181,15,137,164,0.64138991
19,1.7245,190,0.172,0,174,127,0.57696435
17,1.688,170,0.163,0,159,142,0.5686253
12,1.6766,120,0.154,0,134,167,0.41818211
19,1.6674,190,0.145,0,172,129,0.57259948
11,1.6898,110,0.136,0,119,182,0.38437154
14,1.4514,140,0.127,0,139,162,0.44003251
18,1.0802,180,0.118,0,153,148,0.57139031
18,1.466,180,0.109,0,154,147,0.55432833
