Score, Time, Reward, Epsilon
1, 1.0691, 10.2020, 1.0000
1, 1.2155, 10.2730, 1.0000
0, 1.1223, 0.2390, 1.0000
1, 1.1780, 10.2980, 1.0000
2, 0.6267, 20.2080, 1.0000
0, 1.0027, 0.1880, 1.0000
0, 0.9227, 0.2370, 1.0000
1, 1.0118, 10.2480, 1.0000
0, 1.1897, 0.3210, 1.0000
1, 0.6503, 10.2350, 1.0000
1, 1.1319, 10.3000, 1.0000
1, 1.0051, 10.2610, 1.0000
0, 0.7202, 0.2070, 1.0000
0, 0.5923, 0.2380, 1.0000
1, 0.9731, 10.2700, 1.0000
0, 0.9025, 0.1640, 1.0000
0, 1.0310, 0.2090, 1.0000
0, 1.0515, 0.2100, 1.0000
0, 0.7727, 0.2690, 1.0000
0, 0.6302, 0.2530, 1.0000
0, 1.0182, 0.2520, 1.0000
0, 0.9466, 0.1870, 1.0000
0, 0.9366, 0.1880, 1.0000
0, 1.2552, 0.3560, 1.0000
0, 0.9169, 0.1800, 1.0000
0, 0.5899, 0.2300, 1.0000
0, 0.9801, 0.2030, 1.0000
0, 1.0320, 0.2560, 1.0000
0, 1.2373, 0.3210, 1.0000
2, 0.6877, 20.2140, 1.0000
2, 1.0586, 20.2650, 1.0000
1, 1.1262, 10.2690, 1.0000
0, 0.9315, 0.2590, 1.0000
0, 1.0328, 0.2610, 1.0000
0, 0.7359, 0.1860, 1.0000
0, 1.1666, 0.2890, 1.0000
2, 1.0186, 20.2300, 1.0000
1, 0.6559, 10.2610, 1.0000
2, 1.0162, 20.2170, 1.0000
1, 1.0709, -600.2390, 1.0000
2, 1.2716, -840.2780, 1.0000
0, 0.9578, -540.2480, 0.9917
2, 1.1360, -510.2710, 0.9833
2, 0.6538, -660.2410, 0.9750
3, 1.2693, -70.3800, 0.9667
0, 0.9958, -960.2230, 0.9583
0, 1.0635, -760.2600, 0.9500
1, 1.1476, -760.2540, 0.9417
0, 1.1211, -580.2750, 0.9333
0, 1.0057, -190.2920, 0.9250
1, 1.0524, -680.2590, 0.9167
0, 0.6547, -1110.1910, 0.9083
2, 0.9776, -650.2320, 0.9000
0, 0.9576, -830.2180, 0.8917
2, 1.1538, -410.2830, 0.8833
1, 1.3046, -420.3360, 0.8750
1, 1.0639, -280.3030, 0.8667
2, 1.1093, -170.2950, 0.8583
0, 0.7354, -330.3090, 0.8500
0, 1.0968, -310.3040, 0.8417
1, 1.0771, -300.3000, 0.8333
1, 1.0467, -490.2520, 0.8250
0, 0.7455, -570.2830, 0.8167
2, 0.9997, -350.2680, 0.8083
0, 1.1161, -90.3330, 0.8000
0, 1.0131, -450.2710, 0.7917
1, 1.0611, -590.2670, 0.7833
1, 1.0113, -520.2540, 0.7750
0, 1.1188, -430.2840, 0.7667
1, 0.9804, -290.2700, 0.7583
0, 0.9858, -510.2500, 0.7500
2, 1.0286, -270.2790, 0.7417
0, 1.1898, -620.2960, 0.7333
0, 1.1102, -180.3060, 0.7250
0, 1.1522, -550.3040, 0.7167
2, 1.0410, -180.2870, 0.7083
2, 1.0657, -170.3000, 0.7000
1, 1.1263, -260.3100, 0.6917
2, 1.0878, -130.3080, 0.6833
2, 1.1838, -130.3430, 0.6750
5, 0.7664, -70.2860, 0.6667
0, 0.9990, -310.2700, 0.6583
2, 1.3446, -90.3930, 0.6500
0, 1.7102, -90.4830, 0.6417
4, 1.0798, -170.2950, 0.6333
0, 1.0269, -70.2990, 0.6250
0, 1.3396, -410.3250, 0.6167
0, 1.0202, -200.2850, 0.6083
1, 1.1679, -190.2960, 0.6000
3, 1.1465, -150.3210, 0.5917
0, 1.1985, -60.3470, 0.5833
3, 1.5433, -60.4390, 0.5750
1, 0.8983, -160.2830, 0.5667
