Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
0,4.2284,-62,1.0,62,93,208,0.25382984
1,3.7775,-34,0.991,44,92,209,0.17191738
1,3.8462,-33,0.982,43,81,220,0.30254044
0,3.8446,-72,0.973,72,96,205,0.0856298
2,3.8557,-110,0.964,130,103,198,0.09649056
3,3.82,-29,0.955,59,96,205,0.10682799
0,3.8118,-52,0.946,52,98,203,0.02559569
1,3.7762,-54,0.937,64,97,204,0.04551036
2,3.8065,-34,0.928,54,98,203,0.09644749
1,3.8452,-43,0.919,53,99,202,0.04669288
0,3.8964,-57,0.91,57,92,209,0.09155699
2,3.8169,-48,0.901,68,100,201,0.07474367
2,3.8508,-14,0.892,34,90,211,0.15701384
0,2.8451,-40,0.883,40,108,193,0.03035158
1,3.8609,-42,0.874,52,104,197,0.0772491
5,3.9152,-30,0.865,81,113,188,0.10998461
2,3.8401,-22,0.856,42,90,211,0.04414199
2,3.788,-15,0.847,35,91,210,0.04450987
3,3.8866,-15,0.838,45,96,205,0.05744346
2,4.0261,-9,0.829,29,84,217,0.0405491
4,4.054,20,0.82,20,84,217,0.062976
2,3.9649,-18,0.811,38,96,205,0.05293567
1,3.7837,-47,0.802,57,100,201,0.07507515
5,3.7714,11,0.793,39,102,199,0.08225748
1,3.6798,-17,0.784,27,92,209,0.03677363
3,3.912,-8,0.775,38,81,220,0.05540746
3,3.7365,15,0.766,15,94,207,0.04423582
3,4.0093,-1,0.757,31,107,194,0.04967388
1,3.7213,-46,0.748,56,121,180,0.03965717
4,3.7263,6,0.739,34,105,196,0.0607698
2,3.4783,-26,0.73,46,113,188,0.05313047
3,3.7002,6,0.721,24,79,222,0.04537007
4,3.8491,-3,0.712,43,102,199,0.06872816
2,4.0262,-14,0.703,35,77,224,0.0378599
2,3.7286,-15,0.694,35,93,208,0.04024258
1,3.7049,-21,0.685,31,69,232,0.03320401
4,3.8275,20,0.676,20,88,213,0.06978752
3,3.8246,5,0.667,25,83,218,0.04777769
4,4.0649,-7,0.658,47,94,207,0.12005203
2,4.1405,-10,0.649,30,96,205,0.0897323
3,4.1124,18,0.64,12,94,207,0.0495406
5,4.0297,14,0.631,36,111,190,0.07924935
5,2.7974,-7,0.622,58,129,172,0.12136356
8,3.7114,31,0.613,50,140,161,0.20486123
4,3.9057,27,0.604,13,84,217,0.10657261
5,3.8565,13,0.595,38,123,178,0.1953031
6,4.1076,14,0.586,47,133,168,0.28032751
4,3.8596,16,0.577,24,105,196,0.10227528
4,3.8912,21,0.568,20,112,189,0.31274127
6,3.8009,-16,0.559,76,126,175,0.21217109
9,3.7646,68,0.55,25,92,209,0.27403603
6,4.0739,20,0.541,41,140,161,0.36812451
6,3.8524,32,0.532,28,114,187,0.15360721
12,3.9698,82,0.523,42,144,157,0.31147002
9,3.9079,24,0.514,72,129,172,0.27157094
9,4.4697,36,0.505,57,114,187,0.40522024
14,4.3774,135,0.496,6,146,155,0.42177119
12,4.1947,108,0.487,14,145,156,0.4545136
20,4.3184,190,0.478,11,162,139,0.72822908
15,3.8625,131,0.469,22,152,149,0.58129784
8,3.8448,53,0.46,29,119,182,0.68849396
16,3.8475,138,0.451,24,153,148,0.46299279
10,3.715,76,0.442,25,129,172,0.2943584
12,3.7434,89,0.433,35,132,169,0.34188194
13,3.7634,97,0.424,37,162,139,0.4332589
16,3.8088,146,0.415,18,141,160,0.46482697
26,3.7824,247,0.406,17,173,128,0.65693199
25,3.7387,194,0.397,51,171,130,1.26847876
20,3.7208,195,0.388,17,184,117,0.68113147
22,3.7532,199,0.379,27,173,128,0.70455842
18,3.7673,135,0.37,47,146,155,0.62050404
19,3.7492,164,0.361,31,177,124,0.58085231
12,3.6966,98,0.352,26,149,152,0.35293836
19,3.7598,175,0.343,17,158,143,0.47200858
15,3.693,141,0.334,10,122,179,0.39184843
17,3.7514,149,0.325,24,139,162,0.43066249
22,3.77,200,0.316,25,170,131,0.59490935
15,3.7653,128,0.307,23,115,186,0.53770167
15,3.73,144,0.298,6,142,159,0.44014132
20,3.7175,189,0.289,11,135,166,0.60712139
21,3.7376,186,0.28,24,151,150,0.43671237
18,3.7723,158,0.271,22,148,153,0.4581279
17,3.7278,145,0.262,27,152,149,0.47261144
21,3.7454,193,0.253,21,144,157,0.60586522
16,3.7946,147,0.244,13,127,174,0.46315382
18,3.7274,137,0.235,43,142,159,0.57108843
20,3.2306,194,0.226,6,138,163,0.45955456
22,3.8218,215,0.217,5,153,148,0.45268655
20,3.7281,174,0.208,26,156,145,0.52532304
18,3.7406,159,0.199,21,111,190,0.55424066
27,3.8314,259,0.19,11,143,158,0.66564971
20,3.7791,187,0.181,16,153,148,0.58510206
19,3.7513,163,0.172,31,155,146,0.47148003
22,3.7889,179,0.163,32,165,136,0.50105056
23,3.7905,224,0.154,16,160,141,0.57810875
21,3.7446,192,0.145,18,124,177,0.6026728
22,3.7831,220,0.136,0,144,157,0.39587828
25,3.7403,221,0.127,31,196,105,0.55833037
25,3.7932,236,0.118,17,186,115,0.5089398
21,3.7217,190,0.109,20,155,146,0.46772248
