Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
1,1.5574,-246,1.0,64,102,199,0.78134753
1,1.5357,-274,0.991,71,101,200,0.81566762
2,1.4647,-264,0.982,71,124,177,0.83165255
3,1.5267,-354,0.973,97,97,204,1.14971888
2,1.4602,-204,0.964,56,94,207,0.68042053
4,1.4693,-160,0.955,51,107,194,0.65058755
1,1.4947,-210,0.946,55,101,200,0.55442457
1,1.5967,-258,0.937,67,88,213,0.71369898
0,1.5757,-312,0.928,78,98,203,0.78142793
2,1.6143,-60,0.919,20,99,202,0.35397812
3,1.478,-110,0.91,35,96,205,0.44236509
5,0.9967,-194,0.901,61,110,191,0.71689142
1,1.1776,-170,0.892,45,96,205,0.55546357
2,1.6236,-120,0.883,35,97,204,0.49346202
0,1.5113,-92,0.874,23,93,208,0.26139899
3,1.5373,-106,0.865,34,89,212,0.43259673
9,1.54,-38,0.856,32,108,193,0.69244666
1,1.4749,-102,0.847,28,73,228,0.37758642
4,1.6425,-108,0.838,37,99,202,0.50064956
6,1.4563,-100,0.829,40,122,179,0.57285835
4,1.6218,-112,0.82,38,107,194,0.47218729
5,1.6684,-94,0.811,38,119,182,0.59883452
3,1.5113,-6,0.802,9,115,186,0.20671576
4,1.213,-40,0.793,21,100,201,0.37114041
5,1.0789,-18,0.784,18,114,187,0.33758503
5,1.5209,-74,0.775,31,106,195,0.43332931
9,1.5562,-26,0.766,30,110,191,0.5858503
2,1.4505,-24,0.757,11,93,208,0.21991916
7,1.4274,6,0.748,16,98,203,0.37146874
5,1.4559,-10,0.739,16,105,196,0.30018766
4,1.4416,-8,0.73,12,104,197,0.27158702
0,1.6544,-72,0.721,18,85,216,0.19866387
8,1.5242,4,0.712,19,110,191,0.4553677
11,1.4701,70,0.703,11,127,174,0.51413345
6,1.4403,-96,0.694,39,115,186,0.56799491
9,1.2373,10,0.685,21,100,201,0.4857472
10,1.0417,64,0.676,9,127,174,0.4147218
7,1.4463,66,0.667,2,107,194,0.26385459
10,1.5296,84,0.658,4,125,176,0.36769589
8,1.516,-16,0.649,24,111,190,0.43245754
7,1.527,18,0.64,13,114,187,0.31156315
10,1.5263,92,0.631,2,118,183,0.30674646
4,1.4753,-4,0.622,11,77,224,0.24029468
6,1.5044,48,0.613,3,102,199,0.25101229
7,1.5805,-22,0.604,23,111,190,0.4278397
10,1.5412,64,0.595,10,168,133,0.39219061
11,1.4301,78,0.586,9,134,167,0.41593045
7,0.9262,62,0.577,2,94,207,0.25235427
6,1.4548,16,0.568,12,121,180,0.29989083
15,1.5226,130,0.559,6,154,147,0.53759451
13,1.6274,78,0.55,13,132,169,0.5169642
9,1.5955,38,0.541,13,112,189,0.54226348
1,1.5699,-30,0.532,10,85,216,0.19311356
9,1.5985,46,0.523,11,135,166,0.37086472
12,1.5551,88,0.514,8,168,133,0.51487353
17,1.4972,138,0.505,9,144,157,0.61203429
13,1.5733,130,0.496,0,138,163,0.43256187
13,1.497,130,0.487,0,157,144,0.50801701
8,1.2181,52,0.478,7,125,176,0.41027224
14,1.6135,140,0.469,0,136,165,0.46323258
13,1.5786,118,0.46,5,135,166,0.43161642
19,1.598,182,0.451,2,174,127,0.62495514
15,1.5987,142,0.442,2,138,163,0.58321036
18,1.7242,164,0.433,4,150,151,0.60787161
15,1.6604,126,0.424,6,161,140,0.58340221
18,1.5838,156,0.415,6,183,118,0.61430878
18,1.5336,168,0.406,4,170,131,0.5389297
13,1.2829,122,0.397,2,153,148,0.42733741
16,1.2599,160,0.388,0,184,117,0.51009248
17,1.489,156,0.379,2,185,116,0.55367479
22,1.5917,218,0.37,3,184,117,0.66156365
16,1.4744,100,0.361,15,176,125,0.74697569
18,1.5855,172,0.352,3,161,140,0.56504134
25,1.5418,242,0.343,2,186,115,0.68219174
18,1.5236,180,0.334,0,171,130,0.62663161
20,1.5788,200,0.325,0,183,118,0.62848477
24,1.0565,216,0.316,6,206,95,0.64006881
22,0.9781,174,0.307,9,188,113,0.77280041
16,1.2785,170,0.298,0,183,118,0.53484311
24,1.5395,240,0.289,0,169,132,0.68167641
19,1.4995,182,0.28,2,190,111,0.57112112
19,1.5184,190,0.271,0,194,107,0.55218294
23,1.5148,222,0.262,3,202,99,0.69252907
20,1.6436,200,0.253,0,188,113,0.55296047
25,1.5935,250,0.244,0,182,119,0.65656599
27,1.6504,270,0.235,0,198,103,0.69367021
27,1.747,270,0.226,0,216,85,0.68087818
34,1.6193,340,0.217,0,211,90,0.90114804
20,1.5176,200,0.208,0,212,89,0.73509071
24,1.6304,240,0.199,0,201,100,0.63322668
19,1.5422,190,0.19,0,193,108,0.60561936
25,1.4225,242,0.181,2,204,97,0.66833504
22,1.3011,220,0.172,0,189,112,0.5450004
20,0.96,200,0.163,0,179,122,0.57861962
30,1.128,300,0.154,0,216,85,0.72718709
22,1.429,196,0.145,6,192,109,0.68721069
23,1.5429,214,0.136,4,175,126,0.60429535
26,1.576,260,0.127,0,185,116,0.68538612
24,1.5956,240,0.118,0,187,114,0.6384605
33,1.5718,330,0.109,0,196,105,0.85094135
29,7.5585,290,0.1,0,216,85,0.6045546
37,7.5404,370,0.1,0,209,92,0.6763655
26,7.5518,260,0.1,0,217,84,0.52062222
28,7.534,280,0.1,0,221,80,0.56599436
31,7.5622,300,0.1,0,207,94,0.6199144
28,7.5455,290,0.1,0,217,84,0.56231983
