Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
1,2.278,-342,1.0,88,107,194,1.43931408
4,2.5205,-296,0.991,85,105,196,6.93634949
1,2.4804,-186,0.982,49,111,190,2.42746219
2,2.4595,-400,0.973,105,110,191,1.92292214
0,2.2607,-304,0.964,76,96,205,1.60565586
3,1.8453,-150,0.955,45,95,206,0.82191045
1,1.4213,-262,0.946,68,96,205,0.96768453
0,2.1344,-516,0.937,129,110,191,1.97231698
1,2.1749,-254,0.928,66,98,203,1.29822913
1,2.2081,-286,0.919,74,117,184,1.12679424
3,2.3216,-278,0.91,78,117,184,1.17965602
2,2.3906,-188,0.901,52,105,196,1.12208581
1,1.8034,-262,0.892,68,113,188,1.03275165
3,2.1755,-158,0.883,47,105,196,0.92975296
3,2.2172,-294,0.874,82,118,183,1.16388817
0,2.1913,-180,0.865,45,122,179,0.72864272
3,2.3258,-262,0.856,73,113,188,0.99837415
0,2.2902,-236,0.847,59,114,187,0.93751545
2,1.8797,-272,0.838,74,92,209,1.08686892
2,1.4811,-252,0.829,68,103,198,1.03970719
1,2.4653,-198,0.82,52,117,184,0.8070611
1,2.5652,-342,0.811,88,122,179,1.21386433
2,2.3448,-84,0.802,26,112,189,0.55940075
0,2.253,-120,0.793,30,100,201,0.427221
2,2.1667,-240,0.784,65,114,187,0.8697472
2,1.7784,-208,0.775,57,96,205,0.84331487
1,2.9122,-202,0.766,53,114,187,0.69488138
0,2.9356,-112,0.757,28,129,172,0.35797299
2,2.6936,-272,0.748,73,118,183,0.91456137
3,2.3363,-58,0.739,22,99,202,0.48525026
4,2.6163,-72,0.73,28,102,199,0.52484894
7,2.527,26,0.721,11,104,197,0.3980632
2,2.0814,-116,0.712,34,96,205,0.53921535
4,1.7398,-12,0.703,13,93,208,0.33852486
3,2.3243,-42,0.694,18,101,200,0.33831721
5,2.3217,-22,0.685,18,80,221,0.45556774
3,2.2824,-78,0.676,27,109,192,0.43817371
4,1.8658,-132,0.667,43,113,188,0.69208559
2,1.8809,-60,0.658,20,105,196,0.28982432
1,2.1551,-34,0.649,11,69,232,0.1709836
1,2.1379,-78,0.64,22,73,228,0.35443717
1,2.1712,-66,0.631,19,78,223,0.28878965
10,2.1766,40,0.622,15,129,172,0.50661145
5,2.203,6,0.613,12,125,176,0.30914421
4,2.1059,12,0.604,7,100,201,0.24391176
4,1.3709,24,0.595,4,109,192,0.19909404
3,1.3593,-46,0.586,19,92,209,0.38009841
5,2.1879,18,0.577,8,111,190,0.29772118
8,2.3291,20,0.568,15,95,206,0.47175452
4,2.3794,-56,0.559,24,114,187,0.40733334
0,2.3396,-44,0.55,11,107,194,0.151819
6,1.4355,-12,0.541,18,122,179,0.45258664
7,1.4965,46,0.532,6,130,171,0.33354535
6,2.2947,16,0.523,11,98,203,0.28712972
6,2.3153,-32,0.514,23,104,197,0.53227833
6,2.3589,16,0.505,11,126,175,0.3746408
8,2.29,72,0.496,2,129,172,0.33680043
2,2.3313,20,0.487,0,115,186,0.10738092
10,2.2676,24,0.478,20,115,186,0.53513701
5,1.8742,10,0.469,10,106,195,0.31894914
6,1.4433,36,0.46,6,106,195,0.25246939
11,2.0227,34,0.451,19,119,182,0.61677514
5,2.4109,-14,0.442,16,108,193,0.40594971
3,2.2539,14,0.433,4,93,208,0.17274059
13,2.3344,86,0.424,12,160,141,0.60709737
7,2.2584,66,0.415,2,155,146,0.29031042
10,2.1416,92,0.406,2,136,165,0.39213778
15,1.4884,150,0.397,0,130,171,0.55604616
11,1.6422,110,0.388,0,139,162,0.4366954
8,2.1583,68,0.379,3,107,194,0.34358806
12,2.2643,120,0.37,0,116,185,0.44495904
16,2.3555,140,0.361,6,142,159,0.61656844
14,2.3389,88,0.352,13,121,180,0.61257238
12,2.4261,96,0.343,6,145,156,0.507369
9,2.2704,90,0.334,0,161,140,0.37978196
18,1.7155,152,0.325,7,166,135,0.65649543
13,1.6134,66,0.316,16,136,165,0.68925979
18,2.2509,180,0.307,0,133,168,0.70238985
15,2.4423,142,0.298,2,147,154,0.55572078
16,2.4225,148,0.289,3,182,119,0.60284688
22,2.3067,212,0.28,2,167,134,0.68562171
14,2.1761,140,0.271,0,178,123,0.52409757
15,2.1262,130,0.262,5,190,111,0.57306051
21,1.5075,198,0.253,3,167,134,0.71360177
18,1.5374,180,0.244,0,186,115,0.64182401
22,2.137,220,0.235,1,185,116,0.70987129
21,2.1744,186,0.226,6,194,107,0.8131764
21,2.4796,202,0.217,2,177,124,0.70469749
14,2.2811,120,0.208,5,150,151,0.53698446
22,2.1618,200,0.199,5,174,127,0.73309297
20,1.5155,200,0.19,0,174,127,0.63597657
24,2.1282,212,0.181,7,223,78,0.84855255
31,2.1284,294,0.172,5,237,64,0.93580805
26,2.1286,260,0.163,0,210,91,0.76263626
19,2.1156,182,0.154,2,190,111,0.55916649
19,2.1031,182,0.145,2,175,126,0.6108034
22,1.7463,220,0.136,0,180,121,0.58715278
27,1.3043,258,0.127,3,209,92,0.77100115
28,2.0165,264,0.118,4,189,112,0.92064023
28,2.116,280,0.109,0,214,87,0.70618026
