Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
2,1.8063,-55,1.0,75,100,201,0.45124026
2,1.9279,-71,0.9978,91,107,194,0.46532002
0,1.8262,-76,0.9955,76,99,202,0.29828254
0,1.8627,-103,0.9932,103,88,213,0.35915442
0,1.8569,-73,0.991,73,87,214,0.29952232
2,1.872,-32,0.9888,52,106,195,0.35930414
1,1.694,-89,0.9865,99,93,208,0.42141441
0,1.4926,-74,0.9842,74,90,211,0.3284754
4,1.8658,-37,0.982,78,115,186,0.53056439
1,1.8372,-48,0.9798,58,97,204,0.27545934
1,1.8271,-31,0.9775,42,108,193,0.19554216
1,1.9128,-23,0.9752,33,93,208,0.18755286
2,1.8243,-58,0.973,78,96,205,0.38256526
0,1.8085,-44,0.9708,44,105,196,0.17642855
0,1.8001,-47,0.9685,47,97,204,0.21073926
2,1.3541,-21,0.9663,42,110,191,0.26155973
4,1.8618,-8,0.964,48,117,184,0.38482126
0,1.852,-60,0.9617,60,103,198,0.22318937
1,1.8099,-71,0.9595,81,93,208,0.36424553
2,1.8473,-29,0.9573,49,95,206,0.30028948
4,1.4729,5,0.955,35,96,205,0.36604342
1,1.7897,-50,0.9527,60,99,202,0.27426092
3,1.8204,-26,0.9505,57,101,200,0.39794433
2,1.8972,-33,0.9483,53,115,186,0.32964914
2,1.8724,-10,0.946,30,108,193,0.2321419
1,1.5363,-57,0.9437,67,111,190,0.35304675
4,1.1697,-11,0.9415,41,98,203,0.36194255
2,1.1982,-11,0.9393,41,113,188,0.2982363
7,1.7959,16,0.937,54,109,192,0.52595167
3,1.8761,-17,0.9347,47,109,192,0.36695188
2,1.832,-24,0.9325,44,101,200,0.24786011
1,1.8293,-19,0.9303,29,72,229,0.21885701
6,1.833,6,0.928,54,97,204,0.53959177
0,1.9265,-26,0.9257,26,93,208,0.13431398
5,1.8432,5,0.9235,45,105,196,0.43327681
2,1.8377,-13,0.9213,33,96,205,0.28739597
6,1.8431,30,0.919,30,108,193,0.44055784
6,1.8125,11,0.9167,50,102,199,0.56291476
3,1.8336,-16,0.9145,46,102,199,0.41809993
1,1.4954,-56,0.9123,66,97,204,0.37921022
0,1.6507,-13,0.91,13,86,215,0.08629629
1,1.8441,-47,0.9077,57,90,211,0.27608379
5,1.8693,33,0.9055,17,97,204,0.37264956
2,1.8629,-10,0.9032,30,95,206,0.23598824
1,1.837,-16,0.901,27,72,229,0.142121
4,1.8401,-7,0.8987,47,100,201,0.35217009
0,1.859,-20,0.8965,20,92,209,0.07984216
5,1.4469,24,0.8942,26,96,205,0.42152885
4,1.181,26,0.892,14,100,201,0.24414193
1,1.8525,-52,0.8898,62,94,207,0.36959357
6,1.8332,31,0.8875,29,114,187,0.4196179
5,1.8996,26,0.8852,24,113,188,0.374627
1,1.9007,-28,0.883,38,95,206,0.23891945
6,1.8628,23,0.8808,39,106,195,0.49041977
2,1.8544,-24,0.8785,44,109,192,0.25497075
2,1.8755,-28,0.8762,48,118,183,0.26608876
4,1.8379,10,0.874,31,111,190,0.26837154
2,1.2413,10,0.8718,10,81,220,0.21335309
9,1.8615,48,0.8695,42,122,179,0.64715094
7,1.8357,49,0.8672,21,106,195,0.46857951
5,1.8336,32,0.865,18,123,178,0.34407718
4,1.8229,15,0.8628,26,120,181,0.29164038
3,1.854,-2,0.8605,33,98,203,0.26811675
3,1.831,-19,0.8582,49,101,200,0.38282633
3,1.8288,-55,0.856,85,112,189,0.43966345
4,1.8629,20,0.8538,20,98,203,0.31561829
9,1.8709,69,0.8515,22,109,192,0.66295872
7,1.4027,59,0.8492,11,98,203,0.4144285
