Score, Time, Reward, Epsilon
0, 1.0004, 0.2530, 1.0000
0, 1.1314, 0.3270, 1.0000
0, 0.6220, 0.2620, 1.0000
1, 0.6408, 10.2500, 1.0000
0, 0.9731, 0.4310, 1.0000
0, 1.0088, 0.2630, 1.0000
0, 0.8961, 0.2580, 1.0000
1, 0.9560, 10.2910, 1.0000
1, 0.8869, 10.2720, 1.0000
0, 1.0084, 0.3180, 1.0000
0, 0.9527, 0.2970, 1.0000
2, 1.1237, 20.3190, 1.0000
1, 0.9380, 10.2700, 1.0000
0, 0.9670, 0.2650, 1.0000
0, 1.5894, 0.4640, 1.0000
0, 0.9660, 0.1680, 1.0000
0, 0.9873, 0.2580, 1.0000
2, 1.1230, 20.3060, 1.0000
0, 0.9625, 0.2140, 1.0000
2, 0.9874, 20.2250, 1.0000
2, 1.7996, 20.4810, 1.0000
0, 0.9819, 0.2850, 1.0000
0, 0.9653, 0.2440, 1.0000
0, 0.8933, 0.2830, 1.0000
1, 0.9618, 10.2670, 1.0000
0, 1.7088, 0.4640, 1.0000
0, 0.9184, 0.2790, 1.0000
0, 0.8654, 0.2480, 1.0000
0, 0.8776, 0.2130, 1.0000
0, 1.1393, 0.3200, 1.0000
1, 1.1347, 10.3350, 1.0000
0, 0.9406, 0.2380, 1.0000
0, 0.9603, 0.2660, 1.0000
0, 1.4327, 0.4070, 1.0000
0, 1.2738, 0.4140, 1.0000
3, 0.9340, 30.2760, 1.0000
0, 0.9223, 0.2570, 1.0000
0, 0.8657, 0.2360, 1.0000
0, 0.9043, 0.2470, 1.0000
1, 0.9080, -210.3010, 1.0000
0, 0.9614, -650.2750, 1.0000
0, 0.9832, -620.2470, 0.9917
0, 0.9270, -410.2800, 0.9833
1, 1.1141, -240.3260, 0.9750
1, 0.9785, -720.2330, 0.9667
2, 1.6266, -210.4940, 0.9583
1, 1.4390, -350.3830, 0.9500
0, 1.3966, -340.3930, 0.9417
2, 0.9963, -310.2780, 0.9333
0, 1.4549, -320.4670, 0.9250
1, 1.0334, -680.2910, 0.9167
3, 1.3773, -460.4050, 0.9083
0, 1.1902, -460.3630, 0.9000
1, 0.9529, -530.2730, 0.8917
4, 0.8969, -310.2720, 0.8833
1, 1.0615, -310.2990, 0.8750
4, 1.0510, -350.3120, 0.8667
0, 0.9400, -190.2970, 0.8583
4, 0.9228, -180.2890, 0.8500
3, 1.1388, -340.3500, 0.8417
2, 0.9133, -390.2580, 0.8333
2, 1.1110, -400.2670, 0.8250
2, 1.3267, -360.2610, 0.8167
3, 1.3888, -80.3530, 0.8083
2, 1.1627, -530.2850, 0.8000
3, 1.3549, -360.3970, 0.7917
4, 0.9779, -80.3010, 0.7833
4, 1.0931, -80.3130, 0.7750
5, 1.3960, -310.3450, 0.7667
3, 1.0636, 9.6610, 0.7583
4, 1.2090, -340.3330, 0.7500
4, 1.1191, -80.2920, 0.7417
5, 1.0191, -50.2990, 0.7333
9, 0.9625, -70.2920, 0.7250
2, 0.9757, -100.3100, 0.7167
7, 1.0296, -70.3190, 0.7083
3, 1.0546, -230.2930, 0.7000
5, 1.1469, -90.3650, 0.6917
6, 0.9717, -50.2990, 0.6833
3, 0.9431, -340.2760, 0.6750
7, 1.0181, -40.2930, 0.6667
