Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
0,1.116,-81,1.0,81,108,193,0.0367577
1,1.3307,-55,0.9978,65,102,199,0.07663965
0,1.1631,-42,0.9955,42,100,201,0.05247677
1,1.1503,-46,0.9932,56,101,200,0.03912592
1,1.159,-38,0.991,48,100,201,0.03261788
1,1.142,-103,0.9888,113,99,202,0.05729775
1,0.8417,-27,0.9865,37,90,211,0.03474199
1,0.7996,-51,0.9842,61,119,182,0.03954593
2,0.775,-41,0.982,61,106,195,0.05028625
6,1.0672,-7,0.9798,67,107,194,0.09507153
2,1.1592,-48,0.9775,68,83,218,0.05435619
1,1.1555,-60,0.9752,70,92,209,0.03693401
2,1.175,-32,0.973,52,110,191,0.0436204
1,1.1721,-51,0.9708,61,98,203,0.03748191
0,0.7652,-40,0.9685,40,99,202,0.01576784
3,1.0443,-47,0.9663,77,106,195,0.06244949
0,1.1631,-30,0.964,30,94,207,0.01541147
1,1.183,-56,0.9617,66,109,192,0.03436614
1,1.1876,-36,0.9595,46,113,188,0.02891133
0,1.1518,-95,0.9573,95,99,202,0.0323883
1,1.1575,-68,0.955,78,107,194,0.04231841
2,1.1767,-39,0.9527,59,87,214,0.03977094
2,1.1544,-11,0.9505,31,82,219,0.02660678
2,1.1457,-32,0.9483,52,105,196,0.04498057
4,0.7681,-63,0.946,103,121,180,0.08475889
3,0.9889,11,0.9437,21,101,200,0.0459292
2,1.1545,-20,0.9415,40,107,194,0.04448734
0,1.1564,-17,0.9393,17,103,198,0.01422139
2,1.185,-8,0.937,28,102,199,0.05209401
3,1.1748,-15,0.9347,45,108,193,0.06105353
3,1.1588,-13,0.9325,43,90,211,0.05322979
2,1.1655,-24,0.9303,44,95,206,0.04048394
1,1.1597,-62,0.928,72,89,212,0.04247092
2,1.1777,-13,0.9257,33,107,194,0.04043524
3,1.165,9,0.9235,21,106,195,0.04198814
0,1.1583,-23,0.9213,23,97,204,0.01390667
2,0.7662,-19,0.919,39,101,200,0.03986561
2,1.1491,-19,0.9167,39,106,195,0.03753273
1,1.1552,-37,0.9145,47,108,193,0.03541474
1,1.1596,-20,0.9123,30,108,193,0.02681144
2,1.1526,-22,0.91,42,105,196,0.04308779
2,1.1579,-25,0.9077,46,102,199,0.04577348
1,1.153,-13,0.9055,23,100,201,0.1045151
1,1.1749,-32,0.9032,42,111,190,0.05975747
2,1.168,5,0.901,15,84,217,0.08252401
1,0.9429,-9,0.8987,19,89,212,0.04324327
1,1.2619,-22,0.8965,32,109,192,0.03375437
0,1.2128,-30,0.8942,30,95,206,0.0153156
0,1.1741,-23,0.892,23,93,208,0.01386722
3,1.173,17,0.8898,13,88,213,0.04164257
1,1.1468,-19,0.8875,29,95,206,0.02770457
3,0.9367,-10,0.8852,40,104,197,0.05026302
0,1.1752,-19,0.883,19,104,197,0.00829131
2,1.1647,-16,0.8808,36,86,215,0.03965208
6,1.1559,49,0.8785,12,99,202,0.06996427
0,1.1515,-18,0.8762,18,101,200,0.00853104
3,1.1667,17,0.874,13,111,190,0.03822689
1,1.1631,-11,0.8718,21,105,196,0.01840325
3,1.1564,-19,0.8695,49,111,190,0.04825956
2,1.1616,-10,0.8672,30,98,203,0.03456941
3,1.147,-14,0.865,44,119,182,0.0535016
4,1.1482,28,0.8628,12,107,194,0.05041045
2,1.1539,-5,0.8605,25,108,193,0.03095161
1,0.7802,-79,0.8582,89,113,188,0.04507245
2,1.1009,-7,0.856,27,111,190,0.03788893
1,1.1566,-16,0.8538,26,104,197,0.02326003
1,1.1602,-18,0.8515,28,100,201,0.03230635
0,1.1576,-16,0.8492,16,101,200,0.00913088
0,1.1652,-30,0.847,30,100,201,0.01234181
2,1.1625,-16,0.8448,36,100,201,0.03623374
2,1.1622,3,0.8425,17,109,192,0.02879679
0,1.1465,-10,0.8402,10,101,200,0.00675898
1,1.1474,-37,0.838,47,101,200,0.02951058
2,1.1428,5,0.8357,15,99,202,0.02949098
3,1.1626,20,0.8335,11,93,208,0.03902007
2,1.1454,6,0.8313,14,96,205,0.03032673
0,1.1605,-32,0.829,32,109,192,0.01553199
3,1.1559,18,0.8267,12,101,200,0.04201858
3,1.1721,8,0.8245,22,115,186,0.05438757
0,1.1471,-10,0.8222,10,94,207,0.00627054
4,1.1572,38,0.82,2,97,204,0.0447003
3,1.1774,7,0.8177,24,107,194,0.04574777
1,1.1659,-12,0.8155,22,99,202,0.01972277
3,1.1609,4,0.8133,26,113,188,0.043229
1,1.1512,-5,0.811,15,115,186,0.01672744
1,1.1523,-19,0.8087,29,99,202,0.02266194
5,1.165,27,0.8065,23,124,177,0.05991593
3,1.1581,-7,0.8042,37,98,203,0.05039711
0,1.1538,-28,0.802,28,97,204,0.01750314
3,1.1523,-23,0.7997,53,114,187,0.0525543
2,1.1436,-10,0.7975,30,95,206,0.03670237
2,1.1505,-12,0.7953,32,102,199,0.03743736
3,1.1504,-3,0.793,33,129,172,0.04411617
3,1.1388,10,0.7907,20,113,188,0.04349897
3,1.1453,23,0.7885,7,111,190,0.03716273
5,1.1509,27,0.7863,23,129,172,0.06260465
2,1.1515,-1,0.784,21,86,215,0.03287235
0,1.1546,-9,0.7817,9,117,184,0.00391583
2,1.1595,5,0.7795,15,94,207,0.02762281
0,1.1571,-28,0.7772,28,132,169,0.01202175
2,1.1601,4,0.775,16,118,183,0.03052044
1,1.2751,7,0.7727,3,96,205,0.01750134
1,1.1759,1,0.7705,9,101,200,0.01618615
6,1.1544,21,0.7682,39,128,173,0.07769647
4,1.1763,37,0.766,3,122,179,0.04498973
3,1.1594,28,0.7637,2,97,204,0.0405183
3,1.1502,5,0.7615,25,121,180,0.0429532
4,1.1621,27,0.7592,13,118,183,0.04933874
2,1.1674,-4,0.757,24,112,189,0.03327562
1,1.1528,7,0.7548,3,83,218,0.01784515
2,1.1605,-5,0.7525,26,123,178,0.03339006
