Score, Time, Reward, Epsilon
0, 1.3150, -60.5300, 1.0000
0, 1.2505, -45.5100, 1.0000
0, 0.8598, -80.2700, 1.0000
1, 0.8473, -22.3800, 1.0000
1, 1.3073, -54.9200, 1.0000
0, 1.6199, -57.0700, 1.0000
0, 1.1847, -81.2000, 1.0000
3, 0.7323, -6.8000, 1.0000
0, 1.5185, -63.8800, 1.0000
1, 1.3186, -19.8800, 1.0000
1, 1.1021, -107.7600, 1.0000
1, 1.1164, -60.3000, 1.0000
0, 1.1801, -77.2200, 1.0000
0, 1.1420, -89.9000, 1.0000
1, 1.4066, -9.9200, 1.0000
0, 1.1794, -54.4300, 1.0000
0, 1.2432, -61.7700, 1.0000
1, 1.1559, -35.5900, 1.0000
1, 1.3302, -68.8300, 1.0000
0, 1.3112, -74.8000, 1.0000
0, 1.0153, -22.7400, 1.0000
0, 1.2838, -29.7200, 0.9929
0, 1.2608, -42.9400, 0.9857
2, 1.2490, -9.2100, 0.9786
2, 1.3193, -47.0800, 0.9714
0, 1.4966, -53.0900, 0.9643
0, 1.2587, -60.3600, 0.9571
1, 2.2943, -48.4000, 0.9500
0, 1.6093, -33.7900, 0.9429
2, 1.4797, -28.0400, 0.9357
1, 1.3453, -32.7400, 0.9286
2, 1.8999, -17.5800, 0.9214
3, 2.0387, -29.4600, 0.9143
1, 1.4057, -5.9700, 0.9071
1, 1.5909, -30.3300, 0.9000
2, 1.6298, -12.9800, 0.8929
2, 1.1947, -17.9100, 0.8857
4, 1.4197, -6.0600, 0.8786
3, 1.3411, 7.9000, 0.8714
2, 1.3353, -13.6800, 0.8643
3, 1.7999, -8.7400, 0.8571
3, 1.7847, -21.3100, 0.8500
4, 1.6464, -7.5100, 0.8429
2, 1.6131, -20.8500, 0.8357
5, 1.5948, 1.9300, 0.8286
2, 1.2948, -13.7900, 0.8214
4, 1.9295, 8.7700, 0.8143
4, 1.2454, 3.9900, 0.8071
9, 1.2208, 29.0600, 0.8000
6, 1.3672, -16.7900, 0.7929
11, 1.5543, 21.8300, 0.7857
5, 1.4223, -1.7700, 0.7786
5, 1.4853, 11.9700, 0.7714
7, 1.5701, 23.9700, 0.7643
5, 1.4661, -64.7800, 0.7571
8, 1.4625, 3.2000, 0.7500
10, 1.5945, 26.5000, 0.7429
10, 1.6177, 32.3400, 0.7357
7, 1.4061, 19.0800, 0.7286
12, 1.3890, 37.0000, 0.7214
10, 1.5684, 35.8300, 0.7143
8, 1.8529, 22.9800, 0.7071
9, 1.4961, 15.3600, 0.7000
8, 1.3179, 27.7800, 0.6929
7, 1.3509, 19.8600, 0.6857
9, 1.4132, 23.8200, 0.6786
10, 1.3159, 34.9000, 0.6714
11, 1.2953, 26.8400, 0.6643
11, 1.6630, 17.4500, 0.6571
13, 1.3488, 42.8200, 0.6500
12, 1.3228, 37.6600, 0.6429
13, 1.2212, 44.0600, 0.6357
13, 1.3488, 47.8400, 0.6286
10, 1.3932, 30.8000, 0.6214
12, 1.3326, 43.6300, 0.6143
6, 1.3813, 11.6600, 0.6071
15, 1.4796, 55.4400, 0.6000
15, 1.4503, 55.4200, 0.5929
16, 1.3154, 50.8900, 0.5857
10, 1.2829, 36.0400, 0.5786
11, 1.2197, 37.7700, 0.5714
12, 1.2298, 42.8600, 0.5643
14, 1.3137, 51.6200, 0.5571
20, 1.1856, 65.1000, 0.5500
18, 1.2359, 61.5700, 0.5429
16, 1.3334, 57.5200, 0.5357
17, 1.3267, 63.7800, 0.5286
19, 1.2626, 69.9600, 0.5214
11, 1.3220, 36.7600, 0.5143
22, 1.2349, 83.4100, 0.5071
17, 1.2588, 63.7900, 0.5000
18, 1.3290, 65.7200, 0.4929
20, 1.2545, 75.9000, 0.4857
22, 1.3517, 83.6900, 0.4786
18, 1.2484, 65.6400, 0.4714
22, 1.3148, 81.7100, 0.4643
20, 1.2884, 65.6300, 0.4571
26, 1.3394, 94.6400, 0.4500
17, 1.2998, 60.5700, 0.4429
25, 1.4381, 95.6100, 0.4357
25, 1.3731, 95.6300, 0.4286
20, 1.2325, 71.5900, 0.4214
29, 1.3097, 111.7300, 0.4143
15, 1.2559, 51.7200, 0.4071
26, 1.1863, 99.5200, 0.4000
22, 1.2290, 82.6200, 0.3929
29, 1.3064, 107.3800, 0.3857
28, 1.2104, 105.4500, 0.3786
20, 1.2519, 75.4000, 0.3714
18, 1.2226, 65.7200, 0.3643
24, 1.2335, 91.4400, 0.3571
34, 1.3432, 129.3600, 0.3500
27, 1.2701, 101.6400, 0.3429
23, 1.2766, 85.7000, 0.3357
27, 1.2741, 103.4700, 0.3286
20, 1.1915, 71.6500, 0.3214
17, 1.3698, 61.4500, 0.3143
25, 1.2695, 95.3300, 0.3071
28, 1.3602, 107.0400, 0.3000
26, 1.2857, 99.3800, 0.2929
28, 1.1808, 107.5500, 0.2857
