Score,Time,Reward,Epsilon,Bumps,Steps,Rotations,Average loss
0,1.9349,-376,1.0,94,99,202,1.92034732
0,1.5971,-248,0.9955,62,88,213,0.90080451
0,1.6925,-388,0.991,97,105,196,1.80131905
1,1.6764,-330,0.9865,85,98,203,1.17422801
3,1.5993,-258,0.982,72,91,210,1.20218174
2,1.6199,-328,0.9775,87,114,187,1.19297461
1,1.7681,-286,0.973,74,97,204,1.03288394
0,1.6666,-352,0.9685,88,116,185,1.35164804
2,1.7591,-272,0.964,73,85,216,1.15085839
2,1.8402,-168,0.9595,47,87,214,0.8182977
1,1.9261,-406,0.955,104,100,201,1.58306442
2,1.838,-284,0.9505,76,102,199,1.13306079
1,1.7338,-270,0.946,70,104,197,0.95696202
1,1.8733,-150,0.9415,40,100,201,0.75086875
1,1.6741,-326,0.937,84,106,195,1.55559
1,1.6954,-302,0.9325,78,99,202,1.25489155
2,1.6718,-180,0.928,50,112,189,0.95768236
2,1.6728,-332,0.9235,88,115,186,1.25383001
0,1.6756,-80,0.919,20,96,205,0.36629204
2,1.5828,-260,0.9145,72,104,197,1.05932077
0,1.5914,-316,0.91,79,94,207,1.15302244
1,1.7206,-194,0.9055,51,106,195,0.81032023
4,1.6354,-184,0.901,56,105,196,0.90400902
0,1.7306,-292,0.8965,73,77,224,1.08127466
0,1.6736,-188,0.892,47,103,198,0.74866003
0,1.694,-356,0.8875,89,91,210,1.35241361
1,1.5141,-350,0.883,91,97,204,1.38376795
1,1.7106,-402,0.8785,103,105,196,1.49641871
0,1.7687,-164,0.874,41,89,212,0.68400554
1,1.7636,-282,0.8695,73,109,192,1.09670281
0,1.7499,-412,0.865,103,86,215,1.38906081
0,1.7166,-340,0.8605,85,136,165,1.49657492
0,1.7106,-252,0.856,63,109,192,0.79409433
2,1.6465,-148,0.8515,42,79,222,0.72885875
0,1.6304,-244,0.847,61,107,194,0.82165517
0,1.6768,-140,0.8425,35,100,201,0.4803109
5,1.6569,-138,0.838,47,93,208,0.86642064
3,1.6422,-86,0.8335,30,113,188,0.47744907
0,1.6047,-152,0.829,38,94,207,0.52750894
3,1.7541,-150,0.8245,45,108,193,0.70849952
4,1.8183,-168,0.82,52,98,203,0.84456911
1,1.5881,-186,0.8155,49,99,202,0.78719432
3,1.5807,-166,0.811,49,102,199,0.78910333
0,1.6653,-220,0.8065,55,108,193,0.77880273
0,1.6942,-112,0.802,28,93,208,0.42605851
0,1.6974,-220,0.7975,55,108,193,0.70972761
0,1.6307,-124,0.793,31,110,191,0.52760537
2,1.6606,-100,0.7885,30,114,187,0.54126249
2,1.731,-192,0.784,53,96,205,0.81589979
0,1.7123,-124,0.7795,31,111,190,0.39943091
0,1.6947,-188,0.775,47,91,210,0.60695074
1,1.6449,-106,0.7705,29,118,183,0.45339411
2,1.7323,-136,0.766,39,113,188,0.51508134
2,1.756,-116,0.7615,34,105,196,0.52276302
1,1.6439,-22,0.757,8,88,213,0.19923649
4,1.6138,-88,0.7525,32,127,174,0.55286387
3,1.6862,-166,0.748,49,127,174,0.69302772
2,1.665,-24,0.7435,11,76,225,0.20567288
2,1.6191,-68,0.739,22,88,213,0.39820515
2,1.663,-196,0.7345,54,101,200,0.7188774
5,1.651,-50,0.73,25,131,170,0.45732536
4,1.7037,-72,0.7255,28,103,198,0.527587
3,1.6711,-70,0.721,25,116,185,0.45212461
7,1.4802,-26,0.7165,25,150,151,0.5099513
3,1.5933,-62,0.712,23,135,166,0.44562475
1,1.6824,-182,0.7075,48,116,185,0.63670304
5,1.6472,-34,0.703,21,150,151,0.46455237
6,1.5871,-76,0.6985,34,157,144,0.62061909
6,1.6692,-148,0.694,52,148,153,0.80969495
5,1.7099,-42,0.6895,23,150,151,0.46912813
0,1.7124,-24,0.685,6,136,165,0.11933339
5,1.5753,-6,0.6805,15,106,195,0.37162174
1,1.6636,-86,0.676,24,105,196,0.33487595
4,1.5495,-28,0.6715,17,90,211,0.4271815
0,1.5188,-100,0.667,25,85,216,0.3387257
2,1.6159,-8,0.6625,7,117,184,0.18062953
4,1.6395,-276,0.658,79,107,194,1.22012475
0,1.6529,-96,0.6535,24,95,206,0.33316301
1,1.5896,-130,0.649,35,91,210,0.50673073
5,1.6752,14,0.6445,9,155,146,0.37032263
4,1.6748,16,0.64,7,133,168,0.26504731
7,1.5824,6,0.6355,16,98,203,0.4889287
2,1.4695,-116,0.631,34,106,195,0.49611445
5,1.6083,50,0.6265,0,85,216,0.2106495
1,1.7717,-42,0.622,13,79,222,0.22561057
3,1.715,-18,0.6175,12,123,178,0.2803321
6,1.657,4,0.613,14,141,160,0.35846095
8,1.637,-24,0.6085,26,114,187,0.59520842
6,1.637,-44,0.604,26,114,187,0.57931604
4,1.65,-8,0.5995,12,102,199,0.31396575
7,1.654,18,0.595,13,115,186,0.40029028
5,1.5486,22,0.5905,7,115,186,0.25531044
6,1.6498,20,0.586,10,100,201,0.35717044
8,1.6001,28,0.5815,13,93,208,0.46473428
8,1.6876,44,0.577,9,105,196,0.38140925
4,1.6483,-144,0.5725,47,89,212,0.75335627
8,1.615,6,0.568,16,121,180,0.49173288
