Score, 
0, 0.0023, -0.5000
0, 0.0010, -0.4000
0, 0.0015, -0.6000
0, 0.0010, -0.6000
0, 0.0003, -0.5000
0, 0.0007, -0.7000
0, 0.0013, -0.8000
0, 0.0083, -3.1000
0, 0.0024, -1.4000
0, 0.0003, -1.0000
0, 0.0007, -1.2000
0, 0.0138, -4.5000
0, 0.0007, -1.4000
0, 0.0007, -1.5000
0, 0.0007, -1.6000
0, 0.0101, -3.7000
0, 0.0013, -1.9000
0, 0.0009, -1.9000
0, 0.0017, -2.2000
0, 0.0066, -3.4000
0, 0.0021, -2.6000
0, 0.0004, -2.2000
0, 0.0007, -2.4000
0, 0.0093, -4.1000
0, 0.0004, -2.5000
0, 0.0029, -3.1000
0, 0.0025, -3.2000
0, 0.0005, -2.8000
0, 0.0039, -3.3000
0, 0.0065, -4.0000
0, 0.0058, -4.3000
0, 0.0005, -3.2000
0, 0.0003, -3.3000
0, 0.0094, -5.2000
0, 0.0004, -3.5000
0, 0.0067, -4.8000
0, 0.0007, -3.8000
0, 0.0013, -3.9000
0, 0.0003, -3.9000
1, 0.0061, 4.9000
0, 0.0004, -4.1000
0, 0.0003, -4.2000
1, 0.0122, 3.2000
0, 0.0003, -4.4000
0, 0.0003, -4.5000
0, 0.0189, -8.5000
1, 0.0198, 1.0000
1, 0.0326, -2.0000
0, 0.0032, -5.6000
0, 0.0300, -11.1000
0, 0.0029, -5.6000
0, 0.0006, -5.3000
0, 0.0003, -5.3000
1, 0.0116, 2.3000
0, 0.0003, -5.5000
0, 0.0039, -6.2000
0, 0.0003, -5.7000
0, 0.0004, -5.8000
0, 0.0003, -5.9000
0, 0.0043, -6.7000
0, 0.0046, -6.8000
0, 0.0229, -10.0000
0, 0.0029, -6.8000
0, 0.0071, -7.9000
0, 0.0170, -9.5000
0, 0.0057, -7.6000
0, 0.0003, -6.7000
0, 0.0007, -6.9000
0, 0.0012, -7.0000
0, 0.0216, -10.6000
0, 0.0003, -7.1000
0, 0.0269, -11.7000
0, 0.0090, -8.9000
0, 0.0003, -7.4000
0, 0.0003, -7.5000
0, 0.0058, -8.8000
0, 0.0010, -7.9000
0, 0.0127, -10.0000
0, 0.0151, -11.5000
0, 0.0114, -10.8000
1, 0.0106, -0.3000
0, 0.0005, -8.3000
0, 0.0081, -10.0000
0, 0.0034, -9.1000
0, 0.0109, -11.0000
0, 0.0002, -8.6000
0, 0.0003, -8.7000
0, 0.0009, -8.9000
0, 0.0024, -9.6000
0, 0.0089, -10.8000
0, 0.0005, -9.1000
0, 0.0014, -9.3000
0, 0.0009, -9.4000
0, 0.0052, -0.8000
0, 0.0106, -2.1000
0, 0.0177, -3.8000
0, 0.0006, -0.5000
0, 0.0004, -0.5000
0, 0.0087, -2.2000
0, 0.0008, -0.8000
0, 0.0008, -0.9000
