Score, 
0, 1.0524, -805.4000
0, 1.0450, -678.0000
1, 0.9841, -646.8000
5, 1.1329, -522.0000
0, 0.9685, -825.0000
3, 1.1790, -417.8000
4, 1.5458, -435.6000
2, 1.4564, -801.8000
6, 1.0231, -343.8000
0, 1.4195, -932.8000
1, 1.3712, -578.2000
3, 1.7104, -104.2000
2, 1.4649, -331.4000
5, 1.5439, -247.6000
3, 1.6851, -359.0000
5, 1.5733, -90.8000
1, 1.0813, -597.8000
3, 1.7336, -388.4000
1, 1.7344, -539.0000
3, 1.0859, -613.8000
4, 1.0593, -318.0000
0, 1.0658, -550.6000
0, 1.7894, -942.6000
3, 1.0674, -388.4000
3, 1.5210, -319.8000
3, 1.4920, -329.6000
4, 1.1055, -269.0000
6, 1.5328, -0.8000
0, 1.5067, -384.0000
4, 1.1767, -171.0000
0, 1.1080, -540.8000
3, 1.6978, -192.4000
1, 1.5067, -294.0000
4, 1.0396, -190.6000
2, 1.5866, -360.8000
4, 1.5182, -229.8000
0, 1.7528, -403.6000
3, 1.0385, -74.8000
6, 1.5149, 18.8000
1, 1.5342, -372.4000
2, 1.1375, -76.6000
3, 1.7463, -94.4000
6, 1.7519, 48.2000
4, 1.1337, -190.6000
3, 1.4199, -182.6000
5, 1.5289, -100.6000
2, 1.5474, -253.0000
3, 1.2550, -104.2000
3, 1.3737, -212.0000
4, 1.5402, 34.8000
4, 1.1552, -171.0000
3, 1.3672, -192.4000
6, 1.5536, 214.8000
6, 1.2218, 146.2000
1, 1.5711, -284.2000
3, 1.5617, -133.6000
7, 1.8741, 108.8000
5, 1.0944, -51.6000
3, 1.7725, -182.6000
5, 1.5782, 36.6000
5, 1.7347, -2.6000
6, 1.0471, 185.4000
4, 1.7048, 83.8000
2, 1.6085, -125.6000
6, 1.1906, 146.2000
4, 1.5665, 113.2000
6, 1.1016, 322.6000
8, 1.8106, 424.2000
9, 1.6474, 426.0000
7, 1.4790, 285.2000
4, 1.4019, 83.8000
11, 1.8027, 723.6000
11, 1.8071, 576.6000
7, 1.1731, 295.0000
7, 1.4061, 295.0000
8, 1.6049, 434.0000
5, 1.5826, 222.8000
8, 1.5837, 483.0000
5, 1.6596, 173.8000
14, 1.7263, 866.2000
11, 1.0821, 704.0000
11, 1.7922, 694.2000
6, 1.7803, 332.4000
11, 1.4834, 684.4000
12, 1.4836, 803.8000
7, 1.6656, 451.8000
3, 1.6273, 91.8000
16, 1.1351, 1124.6000
17, 1.7818, 1214.6000
6, 1.6844, 254.0000
8, 1.6419, 483.0000
3, 1.6344, -25.8000
17, 1.6356, 1175.4000
11, 1.5870, 664.8000
9, 1.6445, 602.4000
16, 1.6504, 1016.8000
12, 1.6250, 833.2000
14, 1.0937, 993.6000
10, 1.6464, 633.6000
