Score, Time, Reward, Epsilon
0, 0.9406, 0.2770, 1.0000
2, 1.0898, 20.2420, 1.0000
1, 1.1335, 10.2830, 1.0000
0, 0.7486, 0.2620, 1.0000
0, 1.0125, 0.2730, 1.0000
0, 1.0763, 0.2880, 1.0000
1, 1.0021, 10.2830, 1.0000
1, 0.6193, 10.2770, 1.0000
0, 1.4401, 0.3900, 1.0000
1, 1.0818, 10.2490, 1.0000
1, 1.0639, 10.2700, 1.0000
0, 1.0231, 0.2780, 1.0000
0, 0.6265, 0.2770, 1.0000
0, 0.9379, 0.2560, 1.0000
2, 1.0421, 20.2750, 1.0000
1, 1.0811, 10.2910, 1.0000
0, 1.1925, 0.3510, 1.0000
1, 1.0360, 10.2880, 1.0000
1, 1.0116, 10.2770, 1.0000
0, 1.1292, 0.2890, 1.0000
1, 1.1470, 10.2690, 1.0000
0, 1.1059, 0.2630, 1.0000
0, 0.9527, 0.2700, 1.0000
0, 1.0571, 0.2620, 1.0000
1, 1.1529, 10.2870, 1.0000
3, 0.9445, 30.2230, 1.0000
0, 1.0545, 0.3020, 1.0000
2, 1.0031, 20.2720, 1.0000
0, 0.9672, 0.2730, 1.0000
0, 0.6203, 0.2650, 1.0000
0, 1.0314, 0.2950, 1.0000
2, 1.2515, 20.2900, 1.0000
2, 1.0821, 20.2600, 1.0000
0, 1.0880, 0.2890, 1.0000
0, 1.0320, 0.2490, 1.0000
0, 1.0208, 0.2690, 1.0000
0, 1.1188, 0.2740, 1.0000
2, 1.1328, 20.2990, 1.0000
1, 1.0312, 10.2710, 1.0000
2, 1.0309, 20.2630, 1.0000
0, 1.1036, 0.2820, 1.0000
2, 1.1235, 20.2610, 1.0000
2, 1.0391, 20.2630, 1.0000
0, 1.1363, 0.3100, 1.0000
2, 1.0237, 20.2770, 1.0000
0, 1.0936, 0.2360, 1.0000
2, 1.1194, 20.3220, 1.0000
0, 1.0538, 0.2760, 1.0000
0, 1.0802, 0.2910, 1.0000
1, 1.0393, 10.2550, 1.0000
3, 1.0788, 30.2810, 1.0000
0, 1.0673, 0.2950, 1.0000
0, 1.0166, 0.2850, 1.0000
0, 1.1169, 0.2630, 1.0000
1, 1.1961, 10.3350, 1.0000
1, 1.0087, 10.2330, 1.0000
0, 1.0135, 0.2800, 1.0000
0, 1.0521, 0.2700, 1.0000
3, 1.0491, 30.2470, 1.0000
0, 1.0179, 0.2520, 1.0000
0, 1.0444, 0.2540, 1.0000
0, 1.2965, 0.3440, 1.0000
0, 1.2059, 0.2750, 1.0000
4, 1.1031, 40.2610, 1.0000
2, 1.0790, 20.2500, 1.0000
1, 1.1068, 10.2670, 1.0000
1, 1.0193, 10.2730, 1.0000
1, 1.3262, 10.3360, 1.0000
0, 1.1215, 0.2910, 1.0000
1, 1.0065, 10.2530, 1.0000
1, 0.9917, 10.2580, 1.0000
0, 1.2302, 0.3220, 1.0000
1, 1.0147, 10.2560, 1.0000
1, 1.0628, 10.2870, 1.0000
0, 1.0473, 0.2570, 1.0000
0, 1.1379, 0.2600, 1.0000
0, 1.2958, 0.3220, 1.0000
0, 1.0596, 0.2590, 1.0000
0, 1.3033, 0.2990, 1.0000
0, 1.2474, -310.2750, 1.0000
1, 1.0979, -330.2700, 1.0000
0, 1.0543, -370.2740, 0.9955
1, 1.0191, -390.2660, 0.9909
1, 1.0005, -330.2660, 0.9864
3, 1.0172, -230.2720, 0.9818
1, 1.2188, -400.3140, 0.9773
0, 1.0190, -570.2500, 0.9727
0, 1.3235, -400.3090, 0.9682
0, 1.0710, -400.2670, 0.9636
1, 1.1637, -530.2870, 0.9591
1, 1.0828, -330.2870, 0.9545
2, 1.0942, -280.2790, 0.9500
0, 1.2824, -420.2820, 0.9455
0, 1.3174, -320.3040, 0.9409
1, 1.0885, -290.2750, 0.9364
1, 1.1662, -280.2830, 0.9318
0, 1.1830, -360.2700, 0.9273
0, 1.0340, -190.2870, 0.9227
1, 1.0398, -300.2740, 0.9182
2, 1.1282, -320.2810, 0.9136
1, 1.3152, -480.3020, 0.9091
0, 1.1913, -410.2770, 0.9045
1, 1.0578, -340.2670, 0.9000
1, 1.1726, -220.2850, 0.8955
3, 1.0374, -370.2580, 0.8909
1, 1.0371, -220.2780, 0.8864
1, 1.0663, -170.2960, 0.8818
5, 1.7175, -110.4730, 0.8773
2, 1.0792, -150.2890, 0.8727
4, 1.3667, -60.3480, 0.8682
2, 1.2122, -160.3040, 0.8636
0, 1.0358, -240.2800, 0.8591
1, 1.2123, -150.2980, 0.8545
3, 1.2084, -190.3140, 0.8500
4, 1.3705, -160.3430, 0.8455
1, 1.4479, -360.3490, 0.8409
3, 1.3829, -180.3520, 0.8364
2, 1.5129, -160.3760, 0.8318
2, 1.0921, -170.2920, 0.8273
0, 1.0716, -140.2900, 0.8227
1, 1.0778, -230.2910, 0.8182
0, 1.0688, -340.2800, 0.8136
1, 1.0493, -270.2800, 0.8091
